Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid
2021,1,Wyoming,329.0,1565.0,242.0,0.0,242.0,395.0
2021,2,California,12554.0,55874.0,10829.0,70.0,10859.0,15648.0
2021,2,Florida,5323.0,39406.0,5720.0,35.0,5742.0,7572.0
2021,2,Georgia,2938.0,17448.0,2363.0,7.0,2374.0,3707.0
2021,2,New York,7805.0,32715.0,4832.0,32.0,4845.0,9663.0
2021,2,North Carolina,2769.0,18504.0,2345.0,4.0,2348.0,3594.0
2021,2,Wyoming,173.0,1068.0,114.0,0.0,114.0,192.0
2021,3,California,4189.0,47278.0,4784.0,35.0,4799.0,7107.0
2021,3,Florida,3230.0,35908.0,4367.0,30.0,4392.0,5453.0
2021,3,Georgia,1216.0,14974.0,1367.0,2.0,1370.0,1953.0
2021,3,New York,4917.0,31274.0,3614.0,16.0,3623.0,6710.0
2021,3,North Carolina,1074.0,16040.0,1382.0,8.0,1387.0,1932.0
2021,3,Wyoming,160.0,1020.0,132.0,0.0,132.0,216.0
2021,4,California,2079.0,42912.0,3792.0,0.0,3806.0,5241.0
2021,4,Florida,2660.0,36116.0,3907.0,40.0,3927.0,4913.0
2021,4,Georgia,1141.0,15166.0,1119.0,2.0,1202.0,1780.0
2021,4,New York,3754.0,26620.0,3124.0,16.0,3131.0,5451.0
2021,4,North Carolina,986.0,16308.0,1269.0,8.0,1274.0,1844.0
2021,4,Wyoming,112.0,972.0,110.0,0.0,110.0,190.0
2021,5,California,1966.0,52812.0,3975.0,28.0,3993.0,5308.0
2021,5,Florida,2898.0,44580.0,4157.0,45.0,4172.0,5085.0
2021,5,Georgia,870.0,18126.0,1197.0,0.0,1198.0,1641.0
2021,5,New York,2265.0,34633.0,3060.0,16.0,3073.0,4537.0
2021,5,North Carolina,1082.0,20268.0,1588.0,8.0,1595.0,2106.0
2021,5,Wyoming,224.0,1337.0,164.0,0.0,164.0,253.0
2021,6,California,806.0,42392.0,3148.0,0.0,3162.0,3748.0
2021,6,Florida,1666.0,35160.0,3268.0,15.0,3289.0,4174.0
2021,6,Georgia,396.0,14004.0,819.0,4.0,824.0,1063.0
2021,6,New York,770.0,24890.0,1642.0,24.0,1648.0,2030.0
2021,6,North Carolina,542.0,15372.0,1080.0,0.0,1081.0,1471.0
2021,6,Wyoming,192.0,1091.0,132.0,0.0,132.0,189.0
2021,7,California,2239.0,42898.0,3520.0,14.0,3536.0,5213.0
2021,7,Florida,4008.0,38166.0,5146.0,40.0,5178.0,6650.0
2021,7,Georgia,684.0,14476.0,1074.0,0.0,1076.0,1446.0
2021,7,New York,1249.0,24144.0,1866.0,8.0,1874.0,2466.0
2021,7,North Carolina,602.0,15748.0,1114.0,0.0,1115.0,1444.0
2021,7,Wyoming,185.0,1127.0,137.0,0.0,137.0,197.0
2021,8,California,9099.0,61492.0,9258.0,28.0,9290.0,13125.0
2021,8,Florida,24395.0,68378.0,20005.0,60.0,20046.0,27381.0
2021,8,Georgia,6930.0,25238.0,4556.0,7.0,4568.0,7900.0
2021,8,New York,2044.0,32539.0,3134.0,32.0,3154.0,4607.0
2021,8,North Carolina,4278.0,23864.0,3865.0,14.0,3876.0,5591.0
2021,8,Wyoming,303.0,1724.0,237.0,0.0,237.0,350.0
2021,9,California,8500.0,50748.0,8476.0,14.0,8501.0,11322.0
2021,9,Florida,14417.0,48710.0,12143.0,30.0,12168.0,16871.0
2021,9,Georgia,6802.0,21762.0,4887.0,9.0,4900.0,7616.0
2021,9,New York,2761.0,27488.0,3066.0,0.0,3072.0,4825.0
2021,9,North Carolina,5171.0,20628.0,4159.0,8.0,4164.0,6244.0
2021,9,Wyoming,388.0,1391.0,266.0,0.0,266.0,460.0
2021,10,California,6557.0,60758.0,8190.0,28.0,8222.0,10703.0
2021,10,Florida,5554.0,47334.0,6665.0,30.0,6695.0,8590.0
2021,10,Georgia,3200.0,20916.0,2825.0,8.0,2839.0,4224.0
2021,10,New York,3093.0,34526.0,3766.0,8.0,3777.0,5571.0
2021,10,North Carolina,3476.0,23018.0,3560.0,4.0,3566.0,4985.0
2021,10,Wyoming,552.0,2036.0,384.0,0.0,384.0,604.0
2021,11,California,5157.0,48166.0,6672.0,35.0,6706.0,8640.0
2021,11,Florida,1440.0,35962.0,3257.0,30.0,3296.0,3961.0
2021,11,Georgia,1158.0,16012.0,1388.0,8.0,1403.0,2134.0
2021,11,New York,2825.0,29580.0,3695.0,8.0,3712.0,5501.0
2021,11,North Carolina,1180.0,17938.0,1918.0,8.0,1926.0,2476.0
2021,11,Wyoming,299.0,1434.0,234.0,0.0,236.0,337.0
2021,12,California,5003.0,52140.0,6672.0,49.0,6709.0,8984.0
2021,12,Florida,1850.0,36608.0,3675.0,60.0,3732.0,4564.0
2021,12,Georgia,1336.0,16646.0,1603.0,10.0,1627.0,2374.0
2021,12,New York,5091.0,31120.0,4311.0,60.0,4352.0,7377.0
2021,12,North Carolina,1862.0,18796.0,2271.0,14.0,2284.0,3027.0
2021,12,Wyoming,187.0,1252.0,170.0,0.0,172.0,227.0
2022,1,California,17310.0,78766.0,14342.0,112.0,14719.0,21957.0
2022,1,Florida,10955.0,56550.0,9839.0,75.0,9908.0,14283.0
2022,1,Georgia,6036.0,26312.0,4166.0,13.0,4221.0,7299.0
2022,1,New York,13365.0,49743.0,7532.0,102.0,7605.0,16127.0
2022,1,North Carolina,6176.0,28002.0,4686.0,20.0,4717.0,7512.0
2022,1,Wyoming,260.0,1545.0,204.0,0.0,207.0,322.0
2022,2,California,8843.0,54266.0,7884.0,63.0,7918.0,12238.0
2022,2,Florida,5625.0,40394.0,5730.0,50.0,5776.0,8140.0
2022,2,Georgia,3070.0,17690.0,2119.0,9.0,2136.0,3792.0
2022,2,New York,3706.0,28575.0,3248.0,8.0,3256.0,5761.0
2022,2,North Carolina,3438.0,19850.0,2917.0,16.0,2934.0,4748.0
2022,2,Wyoming,222.0,1304.0,180.0,0.0,180.0,269.0
2022,3,California,2745.0,45012.0,4159.0,56.0,4185.0,5486.0
2022,3,Florida,1783.0,35596.0,3305.0,65.0,3355.0,4346.0
2022,3,Georgia,944.0,14730.0,1105.0,6.0,1115.0,1740.0
2022,3,New York,1501.0,26740.0,2490.0,60.0,2531.0,3204.0
2022,3,North Carolina,912.0,16152.0,1172.0,16.0,1186.0,1658.0
2022,3,Wyoming,192.0,1023.0,142.0,0.0,142.0,210.0
2022,4,California,1641.0,43116.0,3884.0,63.0,3930.0,4889.0
2022,4,Florida,1064.0,33730.0,2637.0,50.0,2868.0,3542.0
2022,4,Georgia,423.0,14324.0,670.0,6.0,682.0,934.0
2022,4,New York,1441.0,26233.0,2225.0,80.0,2291.0,3080.0
2022,4,North Carolina,602.0,15738.0,1023.0,18.0,1146.0,1430.0
2022,4,Wyoming,112.0,1112.0,132.0,0.0,132.0,202.0
2022,5,California,2082.0,54418.0,4542.0,103.0,4629.0,6306.0
2022,5,Florida,1691.0,43054.0,3630.0,70.0,3702.0,4660.0
2022,5,Georgia,847.0,17620.0,1081.0,12.0,1103.0,1457.0
2022,5,New York,2861.0,33016.0,2719.0,96.0,2796.0,4649.0
2022,5,North Carolina,1145.0,19558.0,1339.0,16.0,1357.0,1958.0
2022,5,Wyoming,176.0,1385.0,143.0,0.0,143.0,218.0
2022,6,California,2589.0,44432.0,3481.0,107.0,3583.0,5332.0
2022,6,Florida,2111.0,35528.0,2809.0,94.0,3288.0,4552.0
2022,6,Georgia,574.0,14264.0,1026.0,7.0,1039.0,1531.0
2022,6,New York,1628.0,24848.0,2110.0,44.0,2133.0,3260.0
2022,6,North Carolina,887.0,16142.0,1277.0,12.0,1287.0,1758.0
2022,6,Wyoming,144.0,1109.0,121.0,0.0,132.0,186.0
2022,7,California,4292.0,57118.0,5290.0,84.0,5347.0,8004.0
2022,7,Florida,3967.0,44784.0,4450.0,65.0,4708.0,6849.0
2022,7,Georgia,1274.0,18540.0,1256.0,7.0,1271.0,2224.0
2022,7,New York,2394.0,30216.0,2518.0,52.0,2540.0,3730.0
2022,7,North Carolina,1192.0,20004.0,1500.0,12.0,1512.0,2406.0
2022,7,Wyoming,219.0,1340.0,143.0,0.0,143.0,225.0
2022,8,California,2957.0,44866.0,3922.0,42.0,3949.0,6078.0
2022,8,Florida,2834.0,35868.0,3232.0,45.0,3268.0,5014.0
2022,8,Georgia,1133.0,14774.0,1024.0,6.0,1112.0,1833.0
2022,8,New York,2267.0,26276.0,2235.0,16.0,2251.0,3934.0
2022,8,North Carolina,884.0,16210.0,1220.0,14.0,1327.0,1999.0
2022,8,Wyoming,160.0,997.0,121.0,0.0,121.0,176.0
2022,9,California,2120.0,44936.0,3829.0,42.0,3862.0,5579.0
2022,9,Florida,1992.0,35044.0,3204.0,50.0,3244.0,4470.0
2022,9,Georgia,771.0,14960.0,926.0,4.0,932.0,1424.0
2022,9,New York,1849.0,26370.0,2138.0,24.0,2153.0,3368.0
2022,9,North Carolina,868.0,16602.0,1182.0,4.0,1186.0,1797.0
2022,9,Wyoming,160.0,1067.0,132.0,0.0,132.0,209.0
2022,10,California,2281.0,54438.0,4310.0,98.0,4376.0,6316.0
2022,10,Florida,1680.0,44140.0,3723.0,65.0,3788.0,4815.0
2022,10,Georgia,815.0,19070.0,1007.0,33.0,1066.0,1463.0
2022,10,New York,2579.0,35335.0,3047.0,24.0,3069.0,4686.0
2022,10,North Carolina,1191.0,20968.0,1546.0,57.0,1714.0,2478.0
2022,10,Wyoming,186.0,1398.0,154.0,0.0,154.0,227.0
2022,11,California,2406.0,49238.0,4830.0,369.0,5199.0,6660.0
2022,11,Florida,1068.0,34968.0,2927.0,145.0,3082.0,3753.0
2022,11,Georgia,731.0,15198.0,891.0,69.0,1071.0,1489.0
2022,11,New York,2384.0,27556.0,2776.0,182.0,3170.0,4858.0
2022,11,North Carolina,666.0,17038.0,1289.0,166.0,1566.0,2001.0
2022,11,Wyoming,150.0,1239.0,136.0,0.0,151.0,247.0
2022,12,California,3827.0,53720.0,6100.0,676.0,6790.0,8959.0
2022,12,Florida,1388.0,37118.0,3465.0,233.0,3697.0,4456.0
2022,12,Georgia,852.0,16542.0,1115.0,58.0,1207.0,1812.0
2022,12,New York,2522.0,31581.0,2940.0,561.0,3835.0,5997.0
2022,12,North Carolina,820.0,18290.0,1442.0,244.0,1891.0,2481.0
2022,12,Wyoming,128.0,1034.0,120.0,0.0,126.0,177.0
2023,1,California,3303.0,62946.0,6516.0,289.0,6803.0,8829.0
2023,1,Florida,2170.0,48198.0,4714.0,306.0,5410.0,6681.0
2023,1,Georgia,1052.0,20418.0,1623.0,35.0,1704.0,2487.0
2023,1,New York,2808.0,35896.0,3844.0,313.0,4172.0,5893.0
2023,1,North Carolina,1560.0,22426.0,2180.0,98.0,2307.0,3301.0
2023,1,Wyoming,208.0,1379.0,152.0,0.0,154.0,243.0
2023,2,California,1972.0,49214.0,4506.0,77.0,4550.0,6007.0
2023,2,Florida,1460.0,36170.0,3464.0,65.0,3529.0,4355.0
2023,2,Georgia,792.0,15174.0,986.0,10.0,1014.0,1520.0
2023,2,New York,2101.0,27170.0,2494.0,48.0,2534.0,3828.0
2023,2,North Carolina,871.0,16956.0,1491.0,18.0,1522.0,2026.0
2023,2,Wyoming,160.0,995.0,133.0,0.0,133.0,192.0
2023,3,California,1923.0,47094.0,4557.0,56.0,4611.0,5730.0
2023,3,Florida,1048.0,35562.0,2894.0,75.0,3173.0,3831.0
2023,3,Georgia,669.0,14792.0,878.0,5.0,886.0,1189.0
2023,3,New York,1999.0,27039.0,2336.0,12.0,2352.0,3422.0
2023,3,North Carolina,847.0,16756.0,1318.0,12.0,1332.0,1687.0
2023,3,Wyoming,160.0,948.0,121.0,0.0,121.0,164.0
2023,4,California,1316.0,56008.0,4963.0,84.0,5019.0,6081.0
2023,4,Florida,1156.0,43138.0,3568.0,50.0,3620.0,4256.0
2023,4,Georgia,762.0,17974.0,998.0,9.0,1015.0,1284.0
2023,4,New York,1979.0,32137.0,2555.0,64.0,2700.0,3469.0
2023,4,North Carolina,684.0,20000.0,1539.0,18.0,1552.0,1885.0
2023,4,Wyoming,208.0,1350.0,165.0,0.0,165.0,246.0
2023,5,California,1114.0,42908.0,3711.0,63.0,3747.0,4459.0
2023,5,Florida,1158.0,33780.0,2674.0,55.0,2919.0,3404.0
2023,5,Georgia,665.0,14124.0,916.0,8.0,931.0,1175.0
2023,5,New York,1825.0,23986.0,1860.0,40.0,1879.0,1964.0
2023,5,North Carolina,733.0,15786.0,1135.0,6.0,1143.0,1360.0
2023,5,Wyoming,96.0,1008.0,88.0,0.0,88.0,144.0
2023,6,California,983.0,42474.0,3663.0,84.0,3703.0,4313.0
2023,6,Florida,1059.0,33978.0,2244.0,40.0,2269.0,2630.0
2023,6,Georgia,470.0,13794.0,666.0,4.0,671.0,792.0
2023,6,New York,1797.0,24707.0,1886.0,52.0,1911.0,2144.0
2023,6,North Carolina,580.0,15614.0,925.0,22.0,1037.0,1225.0
2023,6,Wyoming,32.0,1061.0,99.0,0.0,99.0,162.0
2023,7,California,1508.0,52462.0,3775.0,49.0,3799.0,4375.0
2023,7,Florida,1759.0,43338.0,3385.0,80.0,3450.0,4091.0
2023,7,Georgia,599.0,16972.0,799.0,4.0,806.0,969.0
2023,7,New York,2025.0,30448.0,2405.0,32.0,2325.0,2594.0
2023,7,North Carolina,661.0,19012.0,1242.0,8.0,1250.0,1341.0
2023,7,Wyoming,96.0,1156.0,154.0,0.0,154.0,252.0
2023,8,California,822.0,42060.0,2908.0,63.0,2925.0,3471.0
2023,8,Florida,1218.0,34698.0,2489.0,45.0,2522.0,3131.0
2023,8,Georgia,623.0,14146.0,620.0,5.0,626.0,798.0
2023,8,New York,1490.0,24101.0,1952.0,40.0,1971.0,2277.0
2023,8,North Carolina,520.0,15814.0,1051.0,8.0,1056.0,1279.0
2023,8,Wyoming,64.0,1078.0,121.0,0.0,121.0,192.0
2023,9,California,1038.0,41620.0,3335.0,35.0,3367.0,4133.0
2023,9,Florida,1348.0,33956.0,2750.0,60.0,2802.0,3413.0
2023,9,Georgia,593.0,13971.0,731.0,7.0,746.0,1003.0
2023,9,New York,1745.0,27158.0,1776.0,32.0,1791.0,2326.0
2023,9,North Carolina,672.0,16072.0,1095.0,8.0,1100.0,1419.0
2023,9,Wyoming,144.0,1000.0,131.0,0.0,131.0,194.0
2023,10,California,1260.0,33584.0,2534.0,70.0,2560.0,3459.0
2023,10,Florida,1133.0,28423.0,1890.0,50.0,2119.0,2519.0
2023,10,Georgia,560.0,10054.0,443.0,8.0,536.0,707.0
2023,10,New York,1660.0,24985.0,1956.0,32.0,1972.0,2599.0
2023,10,North Carolina,799.0,13680.0,945.0,14.0,954.0,1362.0
2023,10,Wyoming,128.0,695.0,99.0,0.0,99.0,162.0
