Year,Month,Jurisdiction,Covid_Deaths,Total_Deaths,Pneumonia_Deaths,Influenza_Deaths,Pneumonia_Influenza_Deaths,Pneumonia_Influenza_Covid
2020,1,Nebraska,0.0,3951.0,330.0,0.0,427.0,541.0
2020,1,Nevada,0.0,5925.0,424.0,0.0,409.0,437.0
2020,1,New Hampshire,0.0,2357.0,187.0,0.0,214.0,286.0
2020,1,New Jersey,0.0,12498.0,809.0,46.0,894.0,940.0
2020,1,New Mexico,0.0,4623.0,367.0,11.0,408.0,465.0
2020,1,New York,244.0,27028.0,2605.0,227.0,2963.0,3320.0
2020,1,North Carolina,0.0,15590.0,1431.0,76.0,1550.0,1722.0
2020,1,North Dakota,0.0,1501.0,156.0,0.0,168.0,248.0
2020,1,Ohio,0.0,20338.0,1494.0,123.0,1641.0,1839.0
2020,1,Oklahoma,104.0,8261.0,664.0,11.0,764.0,822.0
2020,1,Oregon,0.0,7897.0,449.0,13.0,535.0,665.0
2020,1,Pennsylvania,0.0,22392.0,1525.0,119.0,1661.0,1777.0
2020,1,Rhode Island,0.0,2057.0,174.0,0.0,200.0,320.0
2020,1,South Carolina,0.0,9806.0,522.0,42.0,661.0,698.0
2020,1,South Dakota,0.0,1864.0,166.0,0.0,173.0,233.0
2020,1,Tennessee,0.0,12084.0,1071.0,124.0,1288.0,1344.0
2020,1,Texas,0.0,33754.0,3107.0,332.0,3667.0,3999.0
2020,1,Utah,0.0,3654.0,252.0,10.0,287.0,347.0
2020,1,Vermont,0.0,1022.0,37.0,0.0,49.0,58.0
2020,1,Virginia,0.0,14660.0,1209.0,16.0,1254.0,1542.0
2020,1,Washington,0.0,9714.0,702.0,38.0,844.0,901.0
2020,1,West Virginia,0.0,5548.0,463.0,0.0,438.0,507.0
2020,1,Wisconsin,110.0,9030.0,642.0,10.0,675.0,820.0
2020,1,Wyoming,0.0,950.0,120.0,0.0,120.0,183.0
2020,2,Alabama,104.0,9074.0,623.0,37.0,698.0,734.0
2020,2,Alaska,0.0,929.0,90.0,0.0,90.0,144.0
2020,2,Arizona,0.0,10196.0,910.0,49.0,1095.0,1251.0
2020,2,Arkansas,0.0,6379.0,386.0,11.0,458.0,481.0
2020,2,California,912.0,45776.0,4745.0,587.0,5339.0,5735.0
2020,2,Colorado,0.0,7189.0,479.0,39.0,560.0,610.0
