Year,Month,State_Postal_Code,Local_Trips,Interstate_Trips,Long_Distance_Trips
2020,8,NY,1829247337.0,114214259.0,26076253.0
2020,8,WY,49574441.0,7204122.0,1902253.0
2020,9,CA,2570598101.0,249522871.0,35627888.0
2020,9,FL,1654877340.0,110781117.0,18945407.0
2020,9,GA,831619036.0,79291421.0,16301025.0
2020,9,NC,820966549.0,75583251.0,14290113.0
2020,9,NY,1818083019.0,112276525.0,16402949.0
2020,9,WY,47855214.0,6733827.0,1683142.0
2020,10,CA,2482801770.0,254225415.0,29743435.0
2020,10,FL,1737910568.0,117589234.0,15511365.0
2020,10,GA,856625082.0,84270136.0,13499349.0
2020,10,NC,840750502.0,80690195.0,12537416.0
2020,10,NY,1821749596.0,117636173.0,14164756.0
2020,10,WY,46225988.0,6743750.0,1283724.0
2020,11,CA,2652809014.0,242654677.0,29101220.0
2020,11,FL,1755770629.0,109361711.0,16504479.0
2020,11,GA,864253522.0,78611410.0,13196664.0
2020,11,NC,849548650.0,73762050.0,12628466.0
2020,11,NY,1871424231.0,109203811.0,14263502.0
2020,11,WY,46132159.0,5794374.0,1111216.0
2020,12,CA,2496914637.0,243513016.0,31462326.0
2020,12,FL,1800120607.0,119255113.0,18454047.0
2020,12,GA,860224252.0,84931713.0,14445648.0
2020,12,NC,849109140.0,80349080.0,12892250.0
2020,12,NY,1836001732.0,111608712.0,14577932.0
2020,12,WY,46395244.0,6417929.0,1280021.0
2021,1,CA,2175149452.0,189299720.0,33405997.0
2021,1,FL,1799593701.0,97983145.0,18477829.0
2021,1,GA,901667897.0,70217505.0,11940949.0
2021,1,NC,899551246.0,66298306.0,10270770.0
2021,1,NY,1916431121.0,89442968.0,12677675.0
2021,1,WY,61037460.0,6398939.0,1341080.0
2021,2,CA,2541481872.0,213605794.0,33570635.0
2021,2,FL,1854409344.0,101944032.0,15806066.0
2021,2,GA,936669633.0,75430210.0,11179153.0
2021,2,NC,926751218.0,69986515.0,9069516.0
2021,2,NY,1960430004.0,90539167.0,12350834.0
2021,2,WY,66016463.0,6566622.0,1197407.0
2021,3,CA,2940510582.0,236801373.0,35473748.0
2021,3,FL,2189026036.0,122222508.0,19427973.0
2021,3,GA,1139351394.0,87762177.0,12114891.0
2021,3,NC,1148900478.0,84671641.0,10469489.0
2021,3,NY,2451877246.0,109874459.0,12821405.0
2021,3,WY,79150120.0,7691195.0,1484987.0
2021,4,CA,3467390028.0,268494352.0,38019455.0
2021,4,FL,2308109181.0,118359649.0,17713320.0
2021,4,GA,1126253949.0,87047032.0,14845146.0
2021,4,NC,1182881493.0,83592923.0,11944983.0
2021,4,NY,2571572999.0,118775699.0,15609065.0
2021,4,WY,76647366.0,7635072.0,1374437.0
2021,5,CA,3742878503.0,271354288.0,35098551.0
2021,5,FL,2559745644.0,128005936.0,18777783.0
2021,5,GA,1105405107.0,83878498.0,13342242.0
2021,5,NC,1215247446.0,79619547.0,11907669.0
2021,5,NY,2671968262.0,122928630.0,15055720.0
2021,5,WY,70515930.0,7171165.0,1232753.0
2021,6,CA,3473684824.0,256261451.0,33972993.0
2021,6,FL,2560304612.0,129680292.0,17871029.0
2021,6,GA,1079268579.0,81429285.0,12678120.0
2021,6,NC,1166347297.0,77813322.0,11954717.0
2021,6,NY,2625298247.0,121069351.0,14939132.0
2021,6,WY,68875528.0,7251007.0,1142685.0
2021,7,CA,3814512580.0,267717984.0,39943081.0
2021,7,FL,2374843584.0,131126849.0,22034598.0
2021,7,GA,1094168232.0,85333319.0,14719558.0
2021,7,NC,1203643922.0,79471662.0,14566020.0
2021,7,NY,2745926220.0,133758634.0,20297571.0
2021,7,WY,70960259.0,6624873.0,1253069.0
2021,8,CA,3775396538.0,273980317.0,37443277.0
2021,8,FL,2212110516.0,117878378.0,20059016.0
2021,8,GA,1094303973.0,82189454.0,12814262.0
2021,8,NC,1189756428.0,76089836.0,13297234.0
2021,8,NY,2768268221.0,132519767.0,19938575.0
2021,8,WY,67193859.0,6192491.0,1182541.0
2021,9,CA,3647108757.0,274409370.0,36486146.0
2021,9,FL,2104766149.0,111823028.0,19532731.0
2021,9,GA,1057704985.0,79421163.0,12485511.0
2021,9,NC,1144688349.0,71261681.0,12037048.0
2021,9,NY,2680187957.0,127362471.0,17923115.0
2021,9,WY,65306076.0,6325544.0,1124001.0
2021,10,CA,3727016365.0,280186134.0,40080246.0
2021,10,FL,2255994819.0,115039236.0,21307438.0
2021,10,GA,1119996733.0,85184838.0,14190449.0
2021,10,NC,1251512719.0,74749723.0,13663541.0
2021,10,NY,2854256528.0,132604385.0,18019684.0
2021,10,WY,70226332.0,6130961.0,1218360.0
2021,11,CA,3578754930.0,264276119.0,38761572.0
2021,11,FL,2213372475.0,110322803.0,21083567.0
2021,11,GA,1115064141.0,82304474.0,13852164.0
2021,11,NC,1272345491.0,73378950.0,13445785.0
2021,11,NY,2823206929.0,127893363.0,17301498.0
2021,11,WY,70431777.0,5922096.0,1173089.0
2021,12,CA,3634838645.0,260158296.0,39063194.0
2021,12,FL,2197145497.0,110825388.0,21943132.0
2021,12,GA,1154658556.0,82341297.0,14530694.0
2021,12,NC,1305342171.0,75604817.0,13460881.0
2021,12,NY,2771764252.0,129738885.0,17850549.0
2021,12,WY,74601423.0,6121981.0,1225746.0
2022,1,CA,3572819980.0,251767087.0,37164024.0
2022,1,FL,2147318194.0,107381602.0,21303339.0
2022,1,GA,1113775643.0,79405705.0,13940148.0
2022,1,NC,1268903207.0,73815590.0,12399431.0
2022,1,NY,2684553792.0,125112507.0,17649929.0
