DATE,ENPLANED
2012-11-01 00:00:00,51845.0
2012-12-01 00:00:00,51166.0
2013-01-01 00:00:00,47817.0
2013-02-01 00:00:00,45740.0
2013-03-01 00:00:00,56565.0
2013-04-01 00:00:00,53229.0
2013-05-01 00:00:00,56563.0
2013-06-01 00:00:00,57991.0
2013-07-01 00:00:00,59311.0
2013-08-01 00:00:00,58115.0
2013-09-01 00:00:00,50766.0
2013-10-01 00:00:00,54706.0
2013-11-01 00:00:00,50543.0
2013-12-01 00:00:00,54333.0
2014-01-01 00:00:00,47957.0
2014-02-01 00:00:00,45513.0
2014-03-01 00:00:00,57762.0
2014-04-01 00:00:00,55248.0
2014-05-01 00:00:00,57889.0
2014-06-01 00:00:00,59262.0
2014-07-01 00:00:00,61759.0
2014-08-01 00:00:00,59762.0
2014-09-01 00:00:00,52530.0
2014-10-01 00:00:00,57084.0
2014-11-01 00:00:00,52578.0
2014-12-01 00:00:00,55487.0
2015-01-01 00:00:00,49728.0
2015-02-01 00:00:00,47165.0
2015-03-01 00:00:00,59557.0
2015-04-01 00:00:00,57698.0
2015-05-01 00:00:00,60252.0
2015-06-01 00:00:00,61811.0
2015-07-01 00:00:00,65130.0
2015-08-01 00:00:00,62774.0
2015-09-01 00:00:00,55990.0
2015-10-01 00:00:00,60892.0
2015-11-01 00:00:00,57151.0
2015-12-01 00:00:00,57870.0
2016-01-01 00:00:00,52474.0
2016-02-01 00:00:00,51111.0
2016-03-01 00:00:00,61593.0
2016-04-01 00:00:00,58894.0
2016-05-01 00:00:00,62752.0
2016-06-01 00:00:00,64757.0
2016-07-01 00:00:00,66136.0
2016-08-01 00:00:00,63500.0
2016-09-01 00:00:00,58620.0
2016-10-01 00:00:00,61709.0
2016-11-01 00:00:00,59269.0
2016-12-01 00:00:00,59178.0
2017-01-01 00:00:00,54109.0
2017-02-01 00:00:00,51078.0
2017-03-01 00:00:00,63963.0
2017-04-01 00:00:00,61099.0
2017-05-01 00:00:00,64443.0
2017-06-01 00:00:00,66746.0
2017-07-01 00:00:00,68575.0
2017-08-01 00:00:00,66665.0
2017-09-01 00:00:00,57145.0
2017-10-01 00:00:00,64625.0
2017-11-01 00:00:00,61911.0
2017-12-01 00:00:00,61374.0
2018-01-01 00:00:00,55830.0
2018-02-01 00:00:00,54078.0
2018-03-01 00:00:00,66643.0
2018-04-01 00:00:00,64557.0
2018-05-01 00:00:00,67844.0
2018-06-01 00:00:00,70278.0
2018-07-01 00:00:00,72540.0
2018-08-01 00:00:00,70339.0
2018-09-01 00:00:00,60469.0
2018-10-01 00:00:00,67082.0
2018-11-01 00:00:00,64660.0
2018-12-01 00:00:00,63646.0
2019-01-01 00:00:00,58034.0
2019-02-01 00:00:00,55679.0
2019-03-01 00:00:00,70233.0
2019-04-01 00:00:00,66938.0
2019-05-01 00:00:00,71365.0
2019-06-01 00:00:00,72791.0
2019-07-01 00:00:00,75284.0
2019-08-01 00:00:00,72718.0
2019-09-01 00:00:00,63981.0
2019-10-01 00:00:00,69922.0
2019-11-01 00:00:00,64817.0
2019-12-01 00:00:00,69719.0
2020-01-01 00:00:00,61623.0
2020-02-01 00:00:00,59868.0
2020-03-01 00:00:00,34414.0
2020-04-01 00:00:00,2877.0
2020-05-01 00:00:00,9697.0
2020-06-01 00:00:00,16207.0
2020-07-01 00:00:00,22922.0
2020-08-01 00:00:00,24431.0
2020-09-01 00:00:00,23854.0
2020-10-01 00:00:00,28027.0
2020-11-01 00:00:00,26294.0
2020-12-01 00:00:00,27263.0
2021-01-01 00:00:00,24305.0
2021-02-01 00:00:00,24483.0
2021-03-01 00:00:00,39343.0
2021-04-01 00:00:00,43799.0
2021-05-01 00:00:00,52752.0
2021-06-01 00:00:00,60110.0
2021-07-01 00:00:00,66740.0
2021-08-01 00:00:00,60631.0
2021-09-01 00:00:00,53903.0
2021-10-01 00:00:00,60546.0
2021-11-01 00:00:00,59779.0
2021-12-01 00:00:00,59535.0
2022-01-01 00:00:00,45814.0
2022-02-01 00:00:00,49076.0
2022-03-01 00:00:00,64617.0
2022-04-01 00:00:00,63518.0
2022-05-01 00:00:00,66962.0
2022-06-01 00:00:00,67369.0
2022-07-01 00:00:00,69433.0
2022-08-01 00:00:00,66522.0
2022-09-01 00:00:00,63141.0
2022-10-01 00:00:00,67936.0
2022-11-01 00:00:00,63680.0
2022-12-01 00:00:00,62484.0
2023-01-01 00:00:00,58284.0
2023-02-01 00:00:00,56730.0
2023-03-01 00:00:00,69709.0
2023-04-01 00:00:00,67572.0
2023-05-01 00:00:00,71424.0
2023-06-01 00:00:00,72483.0
2023-07-01 00:00:00,75379.0
2023-08-01 00:00:00,71491.0
2023-09-01 00:00:00,66861.0
2023-10-01 00:00:00,73044.0
2023-11-01 00:00:00,68416.0
2023-12-01 00:00:00,67921.0
2024-01-01 00:00:00,59790.0
2024-02-01 00:00:00,60994.0
2024-03-01 00:00:00,73228.0
2024-04-01 00:00:00,70583.0
2024-05-01 00:00:00,75796.0
